symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate,Hawkes mu,Hawkes alpha,Hawkes beta,Hawkes score,Trade rate,Avg trade size,Std trade size,Total vol,Sqrt law cost,Quote regression R2,Quote regression coeff,Avg quote size,Std quote size,Instant cost,Avg spread,Std spread,ACFTest,OFI R2,Perm cost,Ratio (Instant/Sqrt Cost),Ratio (Instant/Perm Cost),Ratio (TradeSz/QuoteSz)
AAWW,NASDAQ,0.01,3.35,29.8751,480276,14348294,1.5577,1.4221,142,2019-07-01,2019-11-01,0.0078,0.0955,0.371,22.953,0.0105,228.3704,438.4978,6166,233.179,49.7925,0.0001,118.6767,101.674,52.6197,0.0835,0.0474,0111111111,22.5102,6.0721,0.2257,8.6659,1.9243
AAXJ,NASDAQ,0.01,1.49,67.2455,1273235,85619324,0.6337,0.526,53,2019-07-01,2019-11-01,0.0259,0.177,0.7828,11.0089,0.0334,190.5294,146.2758,22673,42.144,28.2539,0,428.3436,275.4808,9.7173,0.0189,0.0195,0111111111,38.7903,2.9215,0.2306,3.3261,0.4448
AAXN,NASDAQ,0.01,1.66,60.4165,686802,41494173,1.6781,1.9692,197,2019-07-01,2019-11-01,0.014,0.4892,0.7828,173.1691,0.0374,105.4341,110.5353,13601,124.2159,13.9746,0,349.1989,1217.8367,3.1101,0.067,0.0451,0111111111,26.5556,8.6529,0.025,0.3594,0.3019
ABCB,NASDAQ,0.01,2.59,38.6084,429422,16579296,0.6708,0.9126,91,2019-07-01,2019-11-01,0.0429,0.3782,0.9878,50.0942,0.0695,100.0861,98.5811,24421,77.7009,11.3169,0.0001,194.2344,138.8066,63.0248,0.0347,0.026,0111111111,19.783,8.6869,0.8111,7.2552,0.5153
ACAD,NASDAQ,0.01,3.03,33.0473,1967528,65021488,1.9747,1.5641,156,2019-07-01,2019-11-01,0.0528,0.2787,0.9878,23.0493,0.0736,114.2634,157.3998,29937,267.2269,22.6467,0.0001,185.3725,190.394,95.7238,0.0568,0.0359,0111111111,36.3005,39.3625,0.3582,2.4319,0.6164
ACGL,NASDAQ,0.01,2.5,39.9949,1258201,50321623,0.4621,0.6451,65,2019-07-01,2019-11-01,0.0338,0.2062,0.9878,11.6146,0.0427,156.3791,155.3394,23926,51.6709,52.4317,0,247.2028,202.2841,21.484,0.0227,0.0109,0111111111,84.7863,15.9219,0.4158,1.3493,0.6326
ACHC,NASDAQ,0.01,3.3,30.3134,710823,21547462,0.6499,0.9294,93,2019-07-01,2019-11-01,0.0247,0.13,0.4916,9.9518,0.0335,93.0598,80.1053,10888,95.8797,36.8392,0.0001,170.9153,116.361,63.8623,0.0473,0.0266,0111111111,45.4831,-14.3727,0.6661,-4.4433,0.5445
ACIA,NASDAQ,0.01,1.56,63.9056,755937,48308608,1.8899,0.7743,77,2019-07-01,2019-11-01,0.0054,0.2399,0.371,225.7787,0.0153,88.525,71.4451,3541,132.2559,19.4457,0.0001,141.093,180.4747,17.157,0.088,0.0642,0111111111,35.8115,3.1788,0.1297,5.3974,0.6274
ACIW,NASDAQ,0.01,3.18,31.4523,686322,21586405,0.5785,0.7526,75,2019-07-01,2019-11-01,0.0183,0.0579,0.4916,1.6302,0.0207,85.8169,68.0897,6093,82.2557,30.4764,0.0001,170.8541,142.5193,19.7303,0.0464,0.0367,0111111111,39.7278,-4.0223,0.2399,-4.9052,0.5023
ACWX,NASDAQ,0.01,2.18,45.9407,1453726,66785190,0.3528,0.2922,29,2019-07-01,2019-11-01,0.0083,0.0458,0.371,4.4629,0.0095,971.0769,1068.591,25248,34.3436,20.5229,0,5561.7854,5031.6514,0.42,0.0134,0.0053,0111111111,73.7334,0.2619,0.0122,1.6039,0.1746
